State,City,County,Ownership,Use,LocationID,SiteNumber,ARPLatitude,ARPLongitude
AK,CHENA HOT SPRINGS,FAIRBANKS NORTH STAR,PR,PR,AK13,50095.4*A,65-03-06.5720N,146-02-50.7550W
AK,CHENEGA,SEWARD,PU,PU,C05,50095.7*A,60-04-42.8200N,147-59-41.0450W
AK,CHERNOFSKI HARBOR,ALEUTIAN ISLANDS,PU,PU,KCN,50096.*C,53-23-56.8120N,167-33-06.8400W
AK,CHEVAK,WADE HAMPTON,PU,PU,VAK,50096.22*A,61-32-27.0430N,165-36-03.2110W
AK,CHICKALOON,MATANUSKA-SUSITNA,PR,PR,48AK,50096.9*A,61-47-35.1200N,148-29-32.9860W
AK,CHICKEN,UPPER YUKON,PU,PU,CKX,50097.*A,64-04-16.8180N,141-57-08.2050W
AK,CHIGNIK,LAKE AND PENINSULA,PU,PU,AJC,50097.53*A,56-18-41.2650N,158-22-23.6530W
AK,CHIGNIK,ALEUTIAN ISLANDS,PU,PU,Z78,50097.5*C,56-17-44.1980N,158-24-05.3270W
AK,CHIGNIK LAGOON,LAKE AND PENINSULA,PU,PU,KCL,50097.51*A,56-18-39.7700N,158-32-03.3600W
AK,CHIGNIK LAKE,ALEUTIAN ISLANDS,PU,PU,A79,50097.54*A,56-15-18.1700N,158-46-31.3010W
AK,CHISANA,FAIRBANKS NORTH STAR,PU,PU,CZN,50099.*A,62-04-16.2830N,142-02-54.1470W
AK,CHISTOCHINA,VALDEZ-CHITNA-WHITIE,PU,PU,CZO,50101.*A,62-33-44.4000N,144-40-20.8000W
AK,CHITINA,VALDEZ-CHITNA-WHITIE,PU,PU,CXC,50103.*A,61-34-58.2930N,144-25-37.5490W
AK,CHUATHBALUK,KUSKOKWIM,PU,PU,9A3,50104.37*A,61-34-44.6000N,159-12-56.3000W
AK,CHUGIAK,ANCHORAGE,PR,PR,AK24,50104.45*A,61-25-05.3800N,149-26-20.5400W
AK,CIRCLE,UPPER YUKON,PU,PU,CRC,50106.5*A,65-49-40.5000N,144-04-34.3100W
AK,CIRCLE HOT SPRINGS,UPPER YUKON,PU,PU,CHP,50108.*A,65-29-07.7000N,144-36-38.8210W
AK,CLAM GULCH,KENAI PENINSULA,PR,PR,96AK,50108.1*C,60-17-16.0200N,151-20-46.0400W
AK,CLARKS POINT,BRISTOL BAY,PU,PU,CLP,50108.3*A,58-50-01.3000N,158-31-45.8000W
AK,CLEAR,YUKON-KOYUKUK,PU,PU,Z84,50109.01*A,64-18-01.4000N,149-06-59.5000W
AK,CLEAR,YUKON-KOYUKUK,PR,PU,CLF,50109.11*A,64-15-25.3230N,149-11-10.5010W
AK,CLEARWATER,SOUTHEAST FAIRBANKS,PU,PU,Z86,50110.*A,63-01-36.3890N,147-10-43.1050W
AK,COFFMAN COVE,PRINCE OF WALES,PU,PU,KCC,50112.6*C,56-00-53.2940N,132-50-02.1210W
AK,COLD BAY,ALEUTIAN ISLANDS,PU,PU,Z87,50114.01*C,55-15-05.8580N,162-45-12.2560W
AK,COLD BAY,ALEUTIANS EAST,PU,PU,CDB,50114.*A,55-12-18.9425N,162-43-28.2778W
AK,COLD BAY,ALEUTIANS EAST,PU,PR,1AK3,50114.02*A,56-00-21.5490N,160-33-38.8510W
AK,COLDFOOT,UPPER YUKON,PU,PU,CXF,50114.35*A,67-15-07.8000N,150-12-14.0000W
AK,COLORADO CREEK,KUSKOKWIM,PR,PR,KCR,50116.*A,63-34-03.8030N,155-59-20.5570W
AK,COOPER LANDING,KENAI-COOK INLET,PU,PU,JLA,50121.5*A,60-28-57.8810N,149-43-07.6880W
AK,COPPER CENTER,VALDEZ-CHITNA-WHITIE,PU,PU,Z93,50122.1*A,61-56-28.2840N,145-17-38.6910W
AK,CORDOVA,CORDOVA-MCCARTHY,PU,PU,CKU,50125.*A,60-32-38.0520N,145-43-36.1350W
AK,CORDOVA,CORDOVA-MCCARTHY,PU,PU,CDV,50124.*A,60-29-30.4000N,145-28-39.2000W
AK,CORDOVA,CORDOVA-MCCARTHY,PR,PR,AK30,50124.5*A,60-23-28.1500N,146-05-50.8700W
AK,COUNCIL,NOME,PU,PU,K29,50127.*A,64-53-52.3780N,163-42-12.4100W
AK,CRAIG,PRINCE OF WALES,PU,PU,CGA,50130.*C,55-28-43.7930N,133-08-52.0840W
AK,CRAIG,PRINCE OF WALES,CG,PR,1AK0,50130.1*H,55-28-30.7930N,133-08-45.0830W
AK,CRAIG,KETCHIKAN GATEWAY,PR,PU,5C5,50130.01*C,55-57-30.9200N,133-15-12.1400W
AK,CREVICE CREEK,YUKON-KOYUKUK,PR,PR,1AK1,50130.4*A,67-22-22.3400N,152-00-57.8800W
AK,CROOKED CREEK,KUSKOKWIM,PU,PU,CJX,50132.1*A,61-52-04.4000N,158-08-05.8000W
AK,CROOKED CREEK,BETHEL,PR,PR,01AA,50132.11*A,62-01-56.9150N,158-14-11.0550W
AK,CROSSWIND LAKE,VALDEZ-CHITNA-WHITIE,PR,PR,1AK2,50132.4*A,62-24-03.3910N,146-00-47.8970W
AK,DAHL CREEK,KOBUK,PU,PU,DCK,50135.1*A,66-56-36.0170N,156-54-16.8260W
AK,DEADHORSE,NORTH SLOPE,PR,PR,AK15,50140.72*A,70-20-39.4000N,150-56-41.1000W
AK,DEADHORSE,NORTH SLOPE,PR,PR,AK78,50140.73*A,70-08-14.8800N,147-01-49.5800W
AK,DEADHORSE,NORTH SLOPE,PR,PR,AA03,50140.75*H,70-10-16.6246N,146-15-30.8507W
AK,DEADHORSE,NORTH SLOPE,PU,PU,SCC,50140.7*A,70-11-43.9651N,148-27-56.8444W
AK,DEADHORSE,BARROW,PR,PR,22AK,50140.721*A,70-25-42.0170N,150-24-10.4360W
AK,DEADHORSE,NORTH SLOPE,PR,PR,4AK1,50140.8*A,70-00-13.7905N,153-04-39.2455W
AK,DEADHORSE,NORTH SLOPE,PR,PR,37AA,50140.76*A,70-08-09.6000N,146-17-24.1000W
AK,DEERING,KOBUK,PU,PU,DEE,50145.1*A,66-04-08.8000N,162-46-01.4000W
AK,DELTA JUNCTION,FAIRBANKS NORTH STAR,PR,PR,AK77,50146.09*A,63-56-29.1400N,145-25-20.0100W
AK,DELTA JUNCTION,FAIRBANKS NORTH STAR,PR,PR,9AK4,50146.06*A,64-08-14.5000N,145-49-49.4000W
AK,DELTA JUNCTION,FAIRBANKS NORTH STAR,PR,PR,AK35,50146.07*H,64-02-19.9050N,145-44-20.2100W
AK,DELTA JUNCTION,FAIRBANKS NORTH STAR,PR,PR,45AK,50146.04*A,63-57-42.5840N,145-28-12.3310W
AK,DELTA JUNCTION,FAIRBANKS NORTH STAR,PR,PR,AA22,50146.022*A,64-07-58.2900N,145-48-16.1800W
AK,DELTA JUNCTION,FAIRBANKS NORTH STAR,PU,PU,D66,50146.02*A,64-03-01.5750N,145-43-02.3750W
AK,DELTA JUNCTION,FAIRBANKS NORTH STAR,PR,PR,76AK,50146.1*A,64-28-02.8700N,144-55-15.2100W
AK,DELTA JUNCTION,FAIRBANKS NORTH STAR,PR,PR,29AK,50146.03*A,64-02-58.5940N,145-25-08.3700W
AK,DELTA JUNCTION,FAIRBANKS NORTH STAR,PR,PR,11AK,50146.012*A,63-59-58.5810N,145-30-08.3440W
AK,DELTA JUNCTION,FAIRBANKS NORTH STAR,PR,PR,72AK,50146.08*H,64-01-37.5920N,145-40-48.6280W
AK,DELTA JUNCTION,FAIRBANKS NORTH STAR,PR,PR,AK09,50146.05*A,64-02-58.5840N,145-30-08.3670W
AK,DELTA JUNCTION FT GREELY,FAIRBANKS NORTH STAR,MR,PR,BIG,50146.*A,63-59-42.5771N,145-43-12.0888W
AK,DILLINGHAM,BRISTOL BAY,PU,PU,DLG,50153.*A,59-02-40.8000N,158-30-19.8000W
AK,DILLINGHAM,BRISTOL BAY,PR,PR,AK21,50153.01*A,59-07-57.3000N,157-46-37.8500W
AK,DILLINGHAM,BRISTOL BAY,PU,PU,0Z3,50154.*C,59-03-32.3120N,158-34-37.8840W
AK,DIOMEDE,ALEUTIAN ISLANDS,PU,PU,DM2,50156.5*H,65-45-31.0000N,168-57-11.0000W
AK,DUTCH HARBOR,ALEUTIANS EAST,PR,PR,AK23,50165.*A,53-58-16.0000N,166-52-38.0000W
AK,EAGLE,UPPER YUKON,PU,PU,EAA,50175.*A,64-46-41.1000N,141-08-58.6000W
