originapt,destapt,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,fare_lg
ALB,LAX,20092,1580,51410,"Albany, New York, USA","Los Angeles, California, USA",2467,182.3076923,198.6068294,UA,221.6184471
ALB,SDF,20092,1580,51510,"Albany, New York, USA","Louisville, Kentucky, USA",703,36.15384615,174.7117629,US,189.7677311
ALB,MSN,20092,1580,52470,"Albany, New York, USA","Madison, Wisconsin, USA",787,11.31868132,221.624466,NW,206.297907
ALB,MEM,20092,1580,57180,"Albany, New York, USA","Memphis, Tennessee, USA",1018,21.53846154,221.1057653,US,223.9135714
ALB,MIA,20092,1580,57560,"Albany, New York, USA","Miami, Florida, USA",1225,35.93406593,203.3578899,US,232.9161984
ALB,MKE,20092,1580,57850,"Albany, New York, USA","Milwaukee, Wisconsin, USA",715,23.07692308,210.0629048,NW,213.66875
ALB,MSP,20092,1580,57970,"Albany, New York, USA","Minneapolis/St.Paul, Minnesota, USA",979,93.2967033,231.6677267,NW,232.928691
ALB,MYR,20092,1580,61830,"Albany, New York, USA","Myrtle Beach, South Carolina, USA",684,58.46153846,147.0391165,US,152.0772271
ALB,BNA,20092,1580,62860,"Albany, New York, USA","Nashville, Tennessee, USA",825,86.92307692,164.5535525,WN,169.1320729
ALB,MSY,20092,1580,63580,"Albany, New York, USA","New Orleans, Louisiana, USA",1266,60.65934066,191.7589312,WN,188.0859524
ALB,LGA,20092,1580,63760,"Albany, New York, USA","New York, New York, USA",145,29.56043956,123.2322677,DL,106.961
ALB,ORF,20092,1580,64500,"Albany, New York, USA","Norfolk, Virginia, USA",423,57.36263736,157.2112835,WN,157.1641259
ALB,OAK,20092,1580,65420,"Albany, New York, USA","Oakland, California, USA",2548,24.61538462,224.3538839,WN,212.8606736
ALB,OKC,20092,1580,65840,"Albany, New York, USA","Oklahoma City, Oklahoma, USA",1371,20.21978022,206.891413,UA,206.1473214
ALB,OMA,20092,1580,66060,"Albany, New York, USA","Omaha, Nebraska, USA",1138,24.06593407,172.3316895,UA,171.2632895
ALB,ONT,20092,1580,66180,"Albany, New York, USA","Ontario, California, USA",2423,20,235.6976374,WN,233.8334375
ALB,MCO,20092,1580,66600,"Albany, New York, USA","Orlando, Florida, USA",1073,638.6813187,153.2890933,WN,151.1105456
ALB,PNS,20092,1580,69380,"Albany, New York, USA","Pensacola, Florida, USA",1124,13.73626374,239.95576,US,251.5158621
ALB,PHL,20092,1580,69880,"Albany, New York, USA","Philadelphia, Pennsylvania, USA",212,32.30769231,217.0770748,US,220.4759431
ALB,PHX,20092,1580,69980,"Albany, New York, USA","Phoenix, Arizona, USA",2159,140.6593407,192.3379609,WN,211.3583721
ALB,PIT,20092,1580,70470,"Albany, New York, USA","Pittsburgh, Pennsylvania, USA",367,78.35164835,129.6299299,US,144.2678056
ALB,PDX,20092,1580,71790,"Albany, New York, USA","Portland, Oregon, USA",2395,49.56043956,226.3286253,UA,252.6145882
ALB,RDU,20092,1580,74830,"Albany, New York, USA","Raleigh/Durham, North Carolina, USA",544,137.9120879,135.2909482,WN,133.6595942
ALB,RNO,20092,1580,75500,"Albany, New York, USA","Reno, Nevada, USA",2379,22.74725275,244.9288406,WN,231.5015385
ALB,RIC,20092,1580,75820,"Albany, New York, USA","Richmond, Virginia, USA",407,27.47252747,155.16036,US,155.6834225
ALB,SMF,20092,1580,77850,"Albany, New York, USA","Sacramento, California, USA",2491,40.87912088,214.1439785,WN,202.3148718
ALB,STL,20092,1580,78460,"Albany, New York, USA","St. Louis, Missouri, USA",910,63.62637363,188.4975993,WN,187.2229139
ALB,SLC,20092,1580,79070,"Albany, New York, USA","Salt Lake City, Utah, USA",1960,46.59340659,212.3025236,DL,213.6620472
ALB,SAT,20092,1580,79360,"Albany, New York, USA","San Antonio, Texas, USA",1643,40.54945055,216.1163415,WN,201.0105172
ALB,SAN,20092,1580,79520,"Albany, New York, USA","San Diego, California, USA",2445,94.94505495,219.5735417,WN,207.9885841
ALB,SFO,20092,1580,79830,"Albany, New York, USA","San Francisco, California, USA",2559,135.7142857,225.8380324,UA,237.8893803
ALB,SJC,20092,1580,80050,"Albany, New York, USA","San Jose, California, USA",2543,22.52747253,197.2263415,WN,198.47304
ALB,SNA,20092,1580,80650,"Albany, New York, USA","Santa Ana, California, USA",2449,25.05494506,252.2151316,UA,264.1011111
ALB,SRQ,20092,1580,82080,"Albany, New York, USA","Sarasota/Bradenton, Florida, USA",1167,15.93406593,231.3035172,US,223.7240206
ALB,SAV,20092,1580,82340,"Albany, New York, USA","Savannah, Georgia, USA",837,22.74725275,233.1297101,US,233.1995122
ALB,SEA,20092,1580,82630,"Albany, New York, USA","Seattle, Washington, USA",2355,96.48351648,209.3325968,UA,211.8633956
ALB,TPA,20092,1580,87870,"Albany, New York, USA","Tampa, Florida, USA",1130,347.032967,151.6025554,WN,149.1638128
ALB,TUS,20092,1580,91940,"Albany, New York, USA","Tucson, Arizona, USA",2149,23.84615385,209.7478802,WN,206.8291473
ALB,TUL,20092,1580,92080,"Albany, New York, USA","Tulsa, Oklahoma, USA",1260,12.74725275,217.7540517,DL,220.8065
ALB,IAD,20092,1580,96460,"Albany, New York, USA","Washington, D.C., USA",325,121.7582418,270.3355776,US,268.4065043
ALB,PBI,20092,1580,97160,"Albany, New York, USA","West Palm Beach, Florida, USA",1163,102.4175824,176.7093991,WN,172.5816197
ALB,ILM,20092,1580,97780,"Albany, New York, USA","Wilmington, North Carolina, USA",625,18.9010989,172.0615116,US,177.8747771
ABQ,AVL,20092,1680,5420,"Albuquerque, New Mexico, USA","Asheville, North Carolina, USA",1358,10.32967033,290.2838298,DL,272.0222222
ABQ,ATL,20092,1680,5850,"Albuquerque, New Mexico, USA","Atlanta, Georgia, USA",1269,144.5054945,260.8550342,DL,287.7363937
ABQ,AUS,20092,1680,6100,"Albuquerque, New Mexico, USA","Austin, Texas, USA",619,173.0769231,170.7543873,WN,177.5957195
ABQ,BWI,20092,1680,7220,"Albuquerque, New Mexico, USA","Baltimore, Maryland, USA",1670,376.9230769,181.7606851,WN,184.3067398
ABQ,BTR,20092,1680,8860,"Albuquerque, New Mexico, USA","Baton Rouge, Louisiana, USA",951,10.65934066,205.8731959,AA,202.916579
ABQ,BIL,20092,1680,10830,"Albuquerque, New Mexico, USA","Billings, Montana, USA",750,19.34065934,187.9327841,DL,225.6838272
ABQ,BHM,20092,1680,11030,"Albuquerque, New Mexico, USA","Birmingham, Alabama, USA",1138,46.48351648,173.1057447,WN,174.9693269
ABQ,BOI,20092,1680,11800,"Albuquerque, New Mexico, USA","Boise, Idaho, USA",781,39.78021978,202.9591713,WN,203.2349032
ABQ,BOS,20092,1680,12200,"Albuquerque, New Mexico, USA","Boston, Massachusetts, USA",1974,139.5604396,238.4450394,AA,219.2353418
ABQ,BUF,20092,1680,13730,"Albuquerque, New Mexico, USA","Buffalo, New York, USA",1588,43.62637363,182.4162469,WN,174.4030392
ABQ,BUR,20092,1680,14070,"Albuquerque, New Mexico, USA","Glendale, California, USA",672,97.8021978,169.4388202,WN,170.1051934
ABQ,CHS,20092,1680,17900,"Albuquerque, New Mexico, USA","Charleston, South Carolina, USA",1528,13.07692308,261.6784034,DL,256.4974546
