originapt,destapt,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,fare_lg
ALB,CMH,20082,1580,20570,"Albany, New York, USA","Columbus, Ohio, USA",508,57.69230769,186.5672191,WN,177.7072028
ALB,DAL,20082,1580,23210,"Albany, New York, USA","Dallas/Ft.Worth, Texas, USA",1435,133.956044,261.7031255,US,273.5644444
ALB,DAY,20082,1580,23680,"Albany, New York, USA","Dayton, Ohio, USA",576,20.32967033,253.117946,US,267.7710526
ALB,DEN,20082,1580,24090,"Albany, New York, USA","Denver, Colorado, USA",1609,162.0879121,240.7705695,UA,280.8960722
ALB,DTW,20082,1580,24260,"Albany, New York, USA","Detroit, Michigan, USA",488,135.1648352,180.5643008,NW,173.2219962
ALB,ELP,20082,1580,26930,"Albany, New York, USA","El Paso, Texas, USA",1932,11.86813187,280.0526852,WN,269.8026829
ALB,XNA,20082,1580,28270,"Albany, New York, USA","Fayetteville, Arkansas, USA",1179,12.08791209,273.0344546,DL,263.0702857
ALB,FLL,20082,1580,29420,"Albany, New York, USA","Ft. Lauderdale, Florida, USA",1204,182.967033,172.8579219,WN,174.7961312
ALB,RSW,20082,1580,29540,"Albany, New York, USA","Ft. Myers, Florida, USA",1204,140.7692308,180.9232475,WN,186.5569272
ALB,GRR,20082,1580,33290,"Albany, New York, USA","Grand Rapids, Michigan, USA",595,13.73626374,258.43032,NW,250.0390196
ALB,GSO,20082,1580,33460,"Albany, New York, USA","Greensboro/High Point, Nc, USA",564,29.23076923,168.8383835,US,185.5430818
ALB,GSP,20082,1580,33530,"Albany, New York, USA","Greenville/Spartanburg, Sc, USA",706,51.53846154,178.1032836,US,175.6166936
ALB,HOU,20082,1580,37320,"Albany, New York, USA","Houston, Texas, USA",1495,113.4065934,256.5848062,WN,214.4824332
ALB,HSV,20082,1580,37550,"Albany, New York, USA","Huntsville, Alabama, USA",895,13.84615385,216.0395238,US,202.2643836
ALB,IND,20082,1580,38490,"Albany, New York, USA","Indianapolis, Indiana, USA",682,70.43956044,168.4897192,NW,122.91625
ALB,JAN,20082,1580,40080,"Albany, New York, USA","Jackson/Vicksburg, Mississippi, USA",1144,12.96703297,200.0988136,WN,232.5777778
ALB,JAX,20082,1580,40140,"Albany, New York, USA","Jacksonville, Florida, USA",951,85.4945055,181.0343445,US,176.8216122
ALB,MCI,20082,1580,42650,"Albany, New York, USA","Kansas City, Missouri, USA",1115,59.23076923,211.1304453,NW,174.3684
ALB,TYS,20082,1580,45540,"Albany, New York, USA","Knoxville, Tennessee, USA",725,26.37362637,275.0660417,US,308.9822535
ALB,LAS,20082,1580,48880,"Albany, New York, USA","Las Vegas, Nevada, USA",2237,262.7472528,212.7619992,WN,207.9174207
ALB,LEX,20082,1580,49850,"Albany, New York, USA","Lexington/Frankfort, Kentucky, USA",655,18.57142857,158.2763314,NW,135.7203846
ALB,LIT,20082,1580,50670,"Albany, New York, USA","Little Rock, Arkansas, USA",1135,17.47252747,203.8316981,US,226.3605556
ALB,LAX,20082,1580,51410,"Albany, New York, USA","Los Angeles, California, USA",2467,187.3626374,240.1511672,UA,246.3052823
ALB,SDF,20082,1580,51510,"Albany, New York, USA","Louisville, Kentucky, USA",703,44.28571429,182.8795782,WN,199.1471717
ALB,MSN,20082,1580,52470,"Albany, New York, USA","Madison, Wisconsin, USA",787,15.16483517,290.4907246,NW,297.0743939
ALB,MEM,20082,1580,57180,"Albany, New York, USA","Memphis, Tennessee, USA",1018,16.92307692,413.666039,NW,413.3570588
ALB,MIA,20082,1580,57560,"Albany, New York, USA","Miami, Florida, USA",1225,36.81318681,225.5546269,US,221.5018072
ALB,MKE,20082,1580,57850,"Albany, New York, USA","Milwaukee, Wisconsin, USA",715,24.61538462,327.2222768,NW,283.8315596
ALB,MSP,20082,1580,57970,"Albany, New York, USA","Minneapolis/St.Paul, Minnesota, USA",979,93.07692308,322.0824912,NW,325.9740171
ALB,MYR,20082,1580,61830,"Albany, New York, USA","Myrtle Beach, South Carolina, USA",684,34.61538462,212.3373968,US,217.2694472
ALB,BNA,20082,1580,62860,"Albany, New York, USA","Nashville, Tennessee, USA",825,101.6483517,175.4830703,WN,172.167871
ALB,MSY,20082,1580,63580,"Albany, New York, USA","New Orleans, Louisiana, USA",1266,56.04395604,212.518098,US,206.0421023
ALB,PHF,20082,1580,63680,"Albany, New York, USA","Newport News/Wmsburg, Virginia, USA",413,10,194.1646154,US,193.5563333
ALB,LGA,20082,1580,63760,"Albany, New York, USA","New York, New York, USA",145,32.52747253,267.233277,CO,279.4738938
ALB,ORF,20082,1580,64500,"Albany, New York, USA","Norfolk, Virginia, USA",423,56.48351648,166.480428,WN,153.0078648
ALB,OAK,20082,1580,65420,"Albany, New York, USA","Oakland, California, USA",2548,27.47252747,237.64732,WN,229.4124074
ALB,OKC,20082,1580,65840,"Albany, New York, USA","Oklahoma City, Oklahoma, USA",1371,27.8021978,234.6973123,NW,167.9004478
ALB,OMA,20082,1580,66060,"Albany, New York, USA","Omaha, Nebraska, USA",1138,26.48351648,197.9665975,NW,163.3156522
ALB,ONT,20082,1580,66180,"Albany, New York, USA","Ontario, California, USA",2423,20,259.5065934,WN,232.921626
ALB,MCO,20082,1580,66600,"Albany, New York, USA","Orlando, Florida, USA",1073,735.3846154,149.7915287,WN,143.0458526
ALB,PHL,20082,1580,69880,"Albany, New York, USA","Philadelphia, Pennsylvania, USA",212,43.51648352,165.9880556,US,166.4208269
ALB,PHX,20082,1580,69980,"Albany, New York, USA","Phoenix, Arizona, USA",2159,140.6593407,232.2308516,WN,232.4596923
ALB,PIT,20082,1580,70470,"Albany, New York, USA","Pittsburgh, Pennsylvania, USA",367,89.01098901,157.5965803,US,189.7535952
ALB,PDX,20082,1580,71790,"Albany, New York, USA","Portland, Oregon, USA",2395,57.25274725,263.4015355,UA,275.6883333
ALB,RDU,20082,1580,74830,"Albany, New York, USA","Raleigh/Durham, North Carolina, USA",544,151.6483517,147.5592971,WN,142.1795429
ALB,RNO,20082,1580,75500,"Albany, New York, USA","Reno, Nevada, USA",2379,16.92307692,273.5446104,WN,282.4556311
ALB,RIC,20082,1580,75820,"Albany, New York, USA","Richmond, Virginia, USA",407,16.48351648,278.5539333,US,274.3321212
ALB,SMF,20082,1580,77850,"Albany, New York, USA","Sacramento, California, USA",2491,36.7032967,268.3548204,WN,243.4158108
ALB,STL,20082,1580,78460,"Albany, New York, USA","St. Louis, Missouri, USA",910,76.7032967,205.4991118,WN,183.0172917
ALB,SLC,20082,1580,79070,"Albany, New York, USA","Salt Lake City, Utah, USA",1960,42.41758242,264.0731865,WN,231.9020567
ALB,SAT,20082,1580,79360,"Albany, New York, USA","San Antonio, Texas, USA",1643,53.84615385,237.5897143,WN,251.5807558
ALB,SAN,20082,1580,79520,"Albany, New York, USA","San Diego, California, USA",2445,97.69230769,242.8519685,WN,228.2793548
ALB,SFO,20082,1580,79830,"Albany, New York, USA","San Francisco, California, USA",2559,106.9230769,288.1010997,UA,312.8910185
ALB,SJC,20082,1580,80050,"Albany, New York, USA","San Jose, California, USA",2543,46.48351648,262.2110402,WN,238.3237356
ALB,SNA,20082,1580,80650,"Albany, New York, USA","Santa Ana, California, USA",2449,41.0989011,268.3340909,UA,249.0486928
ALB,SRQ,20082,1580,82080,"Albany, New York, USA","Sarasota/Bradenton, Florida, USA",1167,20.76923077,214.5202116,US,214.8978182
ALB,SAV,20082,1580,82340,"Albany, New York, USA","Savannah, Georgia, USA",837,24.83516484,295.1810177,US,276.2777907
ALB,SEA,20082,1580,82630,"Albany, New York, USA","Seattle, Washington, USA",2355,99.12087912,241.4923393,UA,249.9824632
ALB,GEG,20082,1580,85290,"Albany, New York, USA","Spokane, Washington, USA",2133,11.0989011,290.309901,NW,243.552
ALB,TLH,20082,1580,87620,"Albany, New York, USA","Tallahassee, Florida, USA",1032,10.54945055,243.14,US,250.6902041
ALB,TPA,20082,1580,87870,"Albany, New York, USA","Tampa, Florida, USA",1130,356.7032967,154.8817067,WN,148.8363583
ALB,TUS,20082,1580,91940,"Albany, New York, USA","Tucson, Arizona, USA",2149,31.20879121,240.0560563,WN,230.130129
ALB,TUL,20082,1580,92080,"Albany, New York, USA","Tulsa, Oklahoma, USA",1260,19.67032967,214.7455307,NW,169.5290566
ALB,DCA,20082,1580,96460,"Albany, New York, USA","Washington, D.C., USA",325,125.2747253,282.9961316,US,273.635906
ALB,PBI,20082,1580,97160,"Albany, New York, USA","West Palm Beach, Florida, USA",1163,99.45054945,182.0243978,US,184.6302613
ALB,ILM,20082,1580,97780,"Albany, New York, USA","Wilmington, North Carolina, USA",625,25.27472528,170.4707391,US,164.9060577
ABQ,ABE,20082,1680,2200,"Albuquerque, New Mexico, USA","Allentown, Pennsylvania, USA",1738,10.21978022,241.0632258,DL,230.36
ABQ,AMA,20082,1680,2780,"Albuquerque, New Mexico, USA","Amarillo, Texas, USA",277,32.30769231,94.5329932,WN,94.5329932
ABQ,ATL,20082,1680,5850,"Albuquerque, New Mexico, USA","Atlanta, Georgia, USA",1269,182.1978022,289.4768758,DL,331.9461
ABQ,AGS,20082,1680,5980,"Albuquerque, New Mexico, USA","Augusta, Georgia, USA",1412,10.65934066,424.9863918,DL,436.417013
ABQ,AUS,20082,1680,6100,"Albuquerque, New Mexico, USA","Austin, Texas, USA",619,129.3406593,172.2739677,WN,174.3212092
ABQ,BWI,20082,1680,7220,"Albuquerque, New Mexico, USA","Baltimore, Maryland, USA",1670,370,208.5367924,WN,214.8568954
ABQ,BTR,20082,1680,8860,"Albuquerque, New Mexico, USA","Baton Rouge, Louisiana, USA",951,14.61538462,208.8435338,AA,193.3687143
ABQ,BIL,20082,1680,10830,"Albuquerque, New Mexico, USA","Billings, Montana, USA",750,22.63736264,185.2242718,UA,170.4443836
ABQ,BHM,20082,1680,11030,"Albuquerque, New Mexico, USA","Birmingham, Alabama, USA",1138,54.72527473,183.6970482,AA,156.6341791
ABQ,BOI,20082,1680,11800,"Albuquerque, New Mexico, USA","Boise, Idaho, USA",781,37.47252747,209.7006745,WN,219.0448077
ABQ,BOS,20082,1680,12200,"Albuquerque, New Mexico, USA","Boston, Massachusetts, USA",1974,122.7472528,337.4221934,AA,352.8451351
ABQ,BZN,20082,1680,12550,"Albuquerque, New Mexico, USA","Bozeman, Montana, USA",779,10.54945055,292.9336458,DL,391.8102439
ABQ,BUF,20082,1680,13730,"Albuquerque, New Mexico, USA","Buffalo, New York, USA",1588,61.20879121,200.2662119,WN,216.381066
ABQ,BUR,20082,1680,14070,"Albuquerque, New Mexico, USA","Glendale, California, USA",672,116.2637363,164.1616352,WN,163.2926494
ABQ,CID,20082,1680,17470,"Albuquerque, New Mexico, USA","Cedar Rapids/Iowa City, Iowa, USA",934,12.96703297,265.7770339,AA,249.0756757
ABQ,CHS,20082,1680,17900,"Albuquerque, New Mexico, USA","Charleston, South Carolina, USA",1528,16.48351648,324.7439333,DL,337.3575362
ABQ,CLT,20082,1680,17960,"Albuquerque, New Mexico, USA","Charlotte, North Carolina, USA",1449,72.30769231,240.8117173,AA,218.6945977
ABQ,MDW,20082,1680,18500,"Albuquerque, New Mexico, USA","Chicago, Illinois, USA",1121,488.4615385,192.5453903,WN,191.3273176
ABQ,CVG,20082,1680,19270,"Albuquerque, New Mexico, USA","Cincinnati, Ohio, USA",1240,39.56043956,336.9626667,DL,343.7339649
ABQ,CLE,20082,1680,19770,"Albuquerque, New Mexico, USA","Cleveland, Ohio, USA",1411,70.43956044,230.1538378,WN,219.4564849
ABQ,COS,20082,1680,20410,"Albuquerque, New Mexico, USA","Colorado Springs, Colorado, USA",280,16.26373626,206.8687162,UA,234.0248485
ABQ,CAE,20082,1680,20470,"Albuquerque, New Mexico, USA","Columbia, South Carolina, USA",1453,16.04395604,421.004589,DL,457.932
ABQ,CMH,20082,1680,20570,"Albuquerque, New Mexico, USA","Columbus, Ohio, USA",1343,109.2307692,188.8481388,AA,167.0927566
ABQ,CRP,20082,1680,21560,"Albuquerque, New Mexico, USA","Corpus Christi, Texas, USA",735,16.7032967,221.6632237,WN,205.7563636
ABQ,DAL,20082,1680,23210,"Albuquerque, New Mexico, USA","Dallas/Ft.Worth, Texas, USA",580,809.010989,144.0225482,WN,140.9747886
ABQ,DAY,20082,1680,23680,"Albuquerque, New Mexico, USA","Dayton, Ohio, USA",1272,31.86813187,269.0681035,AA,259.5563514
ABQ,DEN,20082,1680,24090,"Albuquerque, New Mexico, USA","Denver, Colorado, USA",349,718.6813187,92.14418654,WN,82.07726004
ABQ,DSM,20082,1680,24180,"Albuquerque, New Mexico, USA","Des Moines, Iowa, USA",833,21.53846154,260.6198469,UA,286.1324762
ABQ,DTW,20082,1680,24260,"Albuquerque, New Mexico, USA","Detroit, Michigan, USA",1347,173.5164835,189.1406713,AA,162.9585529
ABQ,ELP,20082,1680,26930,"Albuquerque, New Mexico, USA","El Paso, Texas, USA",223,135.9340659,94.04628133,WN,94.04628133
ABQ,FLL,20082,1680,29420,"Albuquerque, New Mexico, USA","Ft. Lauderdale, Florida, USA",1687,128.4615385,190.9946963,WN,179.4969823
ABQ,RSW,20082,1680,29540,"Albuquerque, New Mexico, USA","Ft. Myers, Florida, USA",1584,34.83516484,209.4899369,WN,212.270814
ABQ,VPS,20082,1680,29810,"Albuquerque, New Mexico, USA","Valparaiso, Florida, USA",1193,20.76923077,389.3418519,AA,382.5996124
ABQ,FAT,20082,1680,30270,"Albuquerque, New Mexico, USA","Fresno, California, USA",744,20.32967033,231.3083784,US,237.0935156
ABQ,GRR,20082,1680,33290,"Albuquerque, New Mexico, USA","Grand Rapids, Michigan, USA",1253,23.51648352,251.6721028,AA,223.7222222
ABQ,GRB,20082,1680,33410,"Albuquerque, New Mexico, USA","Green Bay, Wisconsin, USA",1176,17.47252747,213.0869811,NW,223.855625
ABQ,GSO,20082,1680,33460,"Albuquerque, New Mexico, USA","Greensboro/High Point, Nc, USA",1499,26.59340659,225.4402066,DL,215.2114943
ABQ,GPT,20082,1680,34290,"Albuquerque, New Mexico, USA","Gulfport/Biloxi, Mississippi, USA",1069,13.51648352,227.1253659,AA,224.8131507
ABQ,HRL,20082,1680,35390,"Albuquerque, New Mexico, USA","Harlingen, Texas, USA",807,14.3956044,196.9125191,WN,200.9888034
ABQ,MDT,20082,1680,35420,"Albuquerque, New Mexico, USA","Harrisburg, Pennsylvania, USA",1667,18.24175824,217.1360843,DL,201.4084615
ABQ,BDL,20082,1680,35510,"Albuquerque, New Mexico, USA","Hartford, Ct/Springfield, Ma, USA",1886,105.6043956,222.7996254,DL,213.8726357
ABQ,HOU,20082,1680,37320,"Albuquerque, New Mexico, USA","Houston, Texas, USA",759,516.8131868,166.7147714,WN,148.3465318
ABQ,HSV,20082,1680,37550,"Albuquerque, New Mexico, USA","Huntsville, Alabama, USA",1126,30.87912088,317.2351957,AA,289.8045161
ABQ,IND,20082,1680,38490,"Albuquerque, New Mexico, USA","Indianapolis, Indiana, USA",1161,118.5714286,169.6230213,AA,154.8072289
ABQ,PSP,20082,1680,38530,"Albuquerque, New Mexico, USA","Indio/Palm Springs, California, USA",571,10.98901099,219.3587,US,211.4038028
ABQ,JAN,20082,1680,40080,"Albuquerque, New Mexico, USA","Jackson/Vicksburg, Mississippi, USA",970,21.86813187,226.0715075,WN,231.7260256
ABQ,JAX,20082,1680,40140,"Albuquerque, New Mexico, USA","Jacksonville, Florida, USA",1480,64.3956044,189.6820649,DL,187.6200459
ABQ,MCI,20082,1680,42650,"Albuquerque, New Mexico, USA","Kansas City, Missouri, USA",718,190.2197802,172.7366031,WN,173.0659648
ABQ,TYS,20082,1680,45540,"Albuquerque, New Mexico, USA","Knoxville, Tennessee, USA",1274,39.89010989,324.7047383,DL,373.1211921
ABQ,LAS,20082,1680,48880,"Albuquerque, New Mexico, USA","Las Vegas, Nevada, USA",487,632.1978022,137.7316026,WN,137.3399568
ABQ,LIT,20082,1680,50670,"Albuquerque, New Mexico, USA","Little Rock, Arkansas, USA",817,42.74725275,197.2086375,WN,215.0250265
ABQ,LGB,20082,1680,51200,"Albuquerque, New Mexico, USA","Long Beach, California, USA",664,16.04395604,167.0279452,US,164.8669014
ABQ,ISP,20082,1680,51210,"Albuquerque, New Mexico, USA","Islip/Long Island, New York, USA",1861,24.17582418,257.9678182,WN,258.7193925
ABQ,LAX,20082,1680,51410,"Albuquerque, New Mexico, USA","Los Angeles, California, USA",677,680.3296703,158.9358892,WN,151.5494327
ABQ,SDF,20082,1680,51510,"Albuquerque, New Mexico, USA","Louisville, Kentucky, USA",1177,54.83516484,192.2503407,AA,168.7383041
ABQ,LBB,20082,1680,51640,"Albuquerque, New Mexico, USA","Lubbock, Texas, USA",289,36.59340659,98.6466967,WN,97.99493865
