ocityname,dcityname,tbl,quart,origincity,destcity,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs,orgapt,desapt
"Albuquerque, NM",Cleveland/Akron Area 4/,Table 6,20113,30140,30647,1427,80.54347826,228.3224966,AA,26.45074224,201.6280102,F9,11.74089069,190.421954,75,ABQ,CLE
"Albuquerque, NM","Nashville, TN",Table 6,20113,30140,30693,1123,102.826087,207.7841121,WN,46.82875264,223.7221219,AA,42.38900634,195.1824688,76,ABQ,BNA
"Albuquerque, NM","Boise, ID",Table 6,20113,30140,30713,781,48.58695652,207.3360179,WN,56.59955257,198.6495257,DL,21.70022371,180.7581443,77,ABQ,BOI
"Albuquerque, NM",Boston/Providence/Manchester Area 4/,Table 6,20113,30140,30721,1974,283.5869565,269.5732848,WN,34.45764661,288.0526251,AA,32.11958605,229.5140215,78,ABQ,PVD
"Albuquerque, NM","Baton Rouge, LA",Table 6,20113,30140,30781,951,10.54347826,244.372165,AA,65.97938144,243.0514063,AA,65.97938144,243.0514063,79,ABQ,BTR
"Albuquerque, NM","Burlington, VT",Table 6,20113,30140,30785,1881,13.91304348,284.1603125,UA,41.40625,285.2854717,DL,12.5,276.470625,80,ABQ,BTV
"Albuquerque, NM","Buffalo, NY",Table 6,20113,30140,30792,1588,43.69565217,286.2439552,WN,72.88557214,283.4986689,WN,72.88557214,283.4986689,81,ABQ,BUF
"Albuquerque, NM","Bozeman, MT",Table 6,20113,30140,30849,778,16.08695652,225.2460135,DL,56.08108108,218.9654217,F9,15.54054054,176.2582609,82,ABQ,BZN
"Albuquerque, NM",Baltimore/Washington Area 4/,Table 6,20113,30140,30852,1670,659.1304348,279.1852094,WN,45.53100264,251.5581999,WN,45.53100264,251.5581999,83,ABQ,WAS
"Albuquerque, NM","Columbia, SC",Table 6,20113,30140,30868,1453,14.13043478,441.8032308,DL,63.84615385,416.6809639,DL,63.84615385,416.6809639,84,ABQ,CAE
"Albuquerque, NM","Wichita, KS",Table 6,20113,30140,30928,542,15.10869565,215.9616547,AA,39.56834532,210.7803636,F9,25.17985612,179.5465714,85,ABQ,ICT
"Albuquerque, NM",Chicago Area 4/,Table 6,20113,30140,30977,1121,413.1521739,213.5589608,WN,47.90844515,199.07933,WN,47.90844515,199.07933,86,ABQ,CHI
"Albuquerque, NM","Charleston, SC",Table 6,20113,30140,30994,1528,24.56521739,255.9427434,DL,46.01769912,247.4324039,WN,28.31858407,243.9259375,87,ABQ,CHS
"Albuquerque, NM","Charlotte, NC",Table 6,20113,30140,31057,1449,62.39130435,240.9762544,AA,47.21254355,221.7245757,DL,25.08710801,211.5619444,88,ABQ,CLT
"Albuquerque, NM","Columbus, OH",Table 6,20113,30140,31066,1342,66.52173913,217.8111111,AA,44.28104575,207.7325092,AA,44.28104575,207.7325092,89,ABQ,CMH
"Albuquerque, NM","St. Louis, MO",Table 6,20113,30140,31123,934,143.0434783,183.6521961,WN,72.56838906,182.3753403,AA,19.90881459,168.881145,90,ABQ,STL
"Albuquerque, NM","Jacksonville, FL",Table 6,20113,30140,31136,1480,25.43478261,307.9233761,WN,31.1965812,291.9057534,WN,31.1965812,291.9057534,91,ABQ,JAX
"Albuquerque, NM","Corpus Christi, TX",Table 6,20113,30140,31140,735,10.97826087,255.0171287,WN,62.37623762,268.5944444,AA,18.81188119,223.8910526,92,ABQ,CRP
"Albuquerque, NM","Dayton, OH",Table 6,20113,30140,31267,1272,48.04347826,257.3110407,AA,63.57466063,262.7966548,F9,12.8959276,227.5735088,93,ABQ,DAY
"Albuquerque, NM","Detroit, MI",Table 6,20113,30140,31295,1347,138.4782609,196.2297802,AA,38.30455259,172.4775,AA,38.30455259,172.4775,94,ABQ,DTW
"Albuquerque, NM","Des Moines, IA",Table 6,20113,30140,31423,833,29.13043478,208.7128731,AA,36.19402985,213.8070103,DL,12.68656716,192.7691177,95,ABQ,DSM
"Albuquerque, NM","Houston, TX",Table 6,20113,30140,31453,759,381.1956522,214.5940861,WN,59.62360992,206.7948924,WN,59.62360992,206.7948924,96,ABQ,HOU
"Albuquerque, NM","Orlando, FL",Table 6,20113,30140,31454,1553,179.8913044,206.1106707,WN,67.73413897,202.8666013,WN,67.73413897,202.8666013,97,ABQ,MCO
"Albuquerque, NM","Panama City, FL",Table 6,20113,30140,31481,1252,11.84782609,256.5887156,WN,71.55963303,240.4252564,WN,71.55963303,240.4252564,98,ABQ,ECP
"Albuquerque, NM","Valparaiso, FL",Table 6,20113,30140,31504,1208,21.30434783,355.5341327,AA,63.7755102,363.04552,AA,63.7755102,363.04552,99,ABQ,VPS
"Albuquerque, NM","Eugene, OR",Table 6,20113,30140,31603,1082,11.63043478,285.3885047,DL,41.12149533,280.0263636,DL,41.12149533,280.0263636,100,ABQ,EUG
"Albuquerque, NM","Fresno, CA",Table 6,20113,30140,31638,744,25.54347826,211.3408511,US,33.61702128,247.6682279,AA,17.87234043,180.062381,101,ABQ,FAT
"Albuquerque, NM","Minneapolis, MN",Table 6,20113,30140,31650,981,185.1086957,208.7941985,DL,63.00645919,211.1406524,WN,17.32237228,209.545322,102,ABQ,MSP
"Albuquerque, NM",New York Area 4/,Table 6,20113,30140,31703,1861,472.2826087,239.058626,AA,40.59838895,217.3539513,AA,40.59838895,217.3539513,103,ABQ,NYC
"Albuquerque, NM","Fort Myers, FL",Table 6,20113,30140,31714,1585,18.15217391,242.5992216,AA,38.92215569,224.3221539,AA,38.92215569,224.3221539,104,ABQ,RSW
"Albuquerque, NM","Sioux Falls, SD",Table 6,20113,30140,31775,791,16.84782609,205.4312258,UA,34.19354839,229.7573585,AA,11.61290323,140.5388889,105,ABQ,FSD
"Albuquerque, NM","Greer, SC",Table 6,20113,30140,31871,1381,13.04347826,280.94425,WN,55,260.215,WN,55,260.215,106,ABQ,GSP
"Albuquerque, NM","Spokane, WA",Table 6,20113,30140,31884,1035,58.91304348,216.2386716,WN,49.81549816,224.8897407,DL,28.41328413,192.2022078,107,ABQ,GEG
"Albuquerque, NM","Green Bay, WI",Table 6,20113,30140,31977,1176,14.02173913,239.4024806,DL,72.86821705,232.6837234,DL,72.86821705,232.6837234,108,ABQ,GRB
"Albuquerque, NM","Grand Rapids, MI",Table 6,20113,30140,31986,1253,26.52173913,220.1309426,DL,42.21311475,211.7368932,DL,42.21311475,211.7368932,109,ABQ,GRR
"Albuquerque, NM","Greensboro/High Point, NC",Table 6,20113,30140,31995,1499,15.43478261,250.8669014,DL,57.74647887,243.0118293,DL,57.74647887,243.0118293,110,ABQ,GSO
"Albuquerque, NM","Harrisburg, PA",Table 6,20113,30140,32070,1667,13.58695652,284.54224,UA,48,256.438,UA,48,256.438,111,ABQ,MDT
"Albuquerque, NM","Las Vegas, NV",Table 6,20113,30140,32211,486,492.9347826,164.5050606,WN,89.06284454,166.5936247,DL,2.712238148,145.7537398,112,ABQ,LAS
"Albuquerque, NM","Indianapolis, IN",Table 6,20113,30140,32337,1161,75.10869565,213.3162663,AA,35.45586107,198.9569388,AA,35.45586107,198.9569388,113,ABQ,IND
"Albuquerque, NM","Jackson, WY",Table 6,20113,30140,32441,631,11.19565217,262.4658252,DL,35.9223301,290.725946,UA,31.06796117,243.3003125,114,ABQ,JAC
"Albuquerque, NM","Jackson/Vicksburg, MS",Table 6,20113,30140,32448,970,13.58695652,286.43336,WN,50.4,254.3692064,WN,50.4,254.3692064,115,ABQ,JAN
"Albuquerque, NM",San Fran./Oakland Area 4/,Table 6,20113,30140,32457,896,692.5,194.6830576,WN,76.40872704,191.229166,WN,76.40872704,191.229166,116,ABQ,SJC
"Albuquerque, NM",Miami/Ft. Lauderdale Area 4/,Table 6,20113,30140,32467,1689,111.7391304,240.3277724,AA,42.0233463,250.209537,WN,23.05447471,229.7471308,117,ABQ,FLL
"Albuquerque, NM","Santa Ana, CA",Table 6,20113,30140,32575,677,923.6956522,177.6496882,WN,69.45163568,178.6305896,AA,8.248999765,171.5016263,118,ABQ,SNA
