originapt,destapt,tbl,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs
CAK,PHX,Table 6,20082,01270,69980,"Akron/Canton, Ohio, USA","Phoenix, Arizona, USA",1754,62.087912088,188.53235398,F9,27.96460177,165.65455696,F9,27.96460177,165.65455696,44
CAK,PDX,Table 6,20082,01270,71790,"Akron/Canton, Ohio, USA","Portland, Oregon, USA",2078,23.626373626,234.48837209,F9,38.604651163,224.52939759,F9,38.604651163,224.52939759,45
CAK,RDU,Table 6,20082,01270,74830,"Akron/Canton, Ohio, USA","Raleigh/Durham, North Carolina, USA",376,16.703296703,173.47664474,DL,34.868421053,184.46056604,NW,17.105263158,126.98653846,46
CAK,SMF,Table 6,20082,01270,77850,"Akron/Canton, Ohio, USA","Sacramento, California, USA",2123,16.813186813,219.25267974,F9,45.098039216,195.95695652,F9,45.098039216,195.95695652,47
CAK,SLC,Table 6,20082,01270,79070,"Akron/Canton, Ohio, USA","Salt Lake City, Utah, USA",1591,20,228.14247253,F9,58.241758242,188.08075472,F9,58.241758242,188.08075472,48
CAK,SAT,Table 6,20082,01270,79360,"Akron/Canton, Ohio, USA","San Antonio, Texas, USA",1238,14.945054945,205.32625,DL,55.147058824,214.99,NW,22.794117647,183.13677419,49
CAK,SAN,Table 6,20082,01270,79520,"Akron/Canton, Ohio, USA","San Diego, California, USA",2045,39.230769231,214.01806723,FL,27.450980392,176.99591837,FL,27.450980392,176.99591837,50
CAK,SFO,Table 6,20082,01270,79830,"Akron/Canton, Ohio, USA","San Francisco, California, USA",2187,35.164835165,205.8494375,DL,19.375,235.65822581,FL,18.4375,171.20881356,51
CAK,SNA,Table 6,20082,01270,80650,"Akron/Canton, Ohio, USA","Santa Ana, California, USA",2052,13.736263736,238.67264,F9,40,210.779,F9,40,210.779,52
CAK,SRQ,Table 6,20082,01270,82080,"Akron/Canton, Ohio, USA","Sarasota/Bradenton, Florida, USA",934,29.450549451,158.43970149,FL,58.208955224,140.09121795,FL,58.208955224,140.09121795,53
CAK,SAV,Table 6,20082,01270,82340,"Akron/Canton, Ohio, USA","Savannah, Georgia, USA",606,37.472527473,159.53090909,DL,42.815249267,153.36808219,FL,34.31085044,144.2457265,54
CAK,SEA,Table 6,20082,01270,82630,"Akron/Canton, Ohio, USA","Seattle, Washington, USA",2055,41.538461538,215.78126984,F9,23.28042328,219.97556818,FL,18.518518519,194.63085714,55
