ocityname,dcityname,tbl,quart,origincity,destcity,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs,orgapt,desapt
"Allentown/Bethlehem/Easton, PA","Knoxville, TN",Table 6,20114,30135,35412,572,11.19565217,245.6056311,US,39.80582524,218.4958537,UA,22.33009709,185.0217391,46,ABE,TYS
"Abilene, TX",Dallas/Fort Worth Area 4/,Table 6,20114,30136,30194,158,24.89130435,145.8339738,AA,100,145.8339738,AA,100,145.8339738,47,ABI,DFW
"Abilene, TX","Atlanta, GA",Table 6,20114,30136,30397,889,11.95652174,310.2215455,AA,88.18181818,289.752165,AA,88.18181818,289.752165,48,ABI,ATL
"Abilene, TX",Baltimore/Washington Area 4/,Table 6,20114,30136,30852,1370,15.43478261,376.791831,AA,98.5915493,375.0575714,AA,98.5915493,375.0575714,49,ABI,WAS
"Abilene, TX",Chicago Area 4/,Table 6,20114,30136,30977,924,12.17391304,262.364375,AA,98.21428571,259.9325455,AA,98.21428571,259.9325455,50,ABI,CHI
"Abilene, TX","Houston, TX",Table 6,20114,30136,31453,323,16.41304348,198.6675497,AA,93.37748344,194.6319149,AA,93.37748344,194.6319149,51,ABI,IAH
"Abilene, TX","Las Vegas, NV",Table 6,20114,30136,32211,920,12.82608696,371.4679661,AA,98.30508475,369.9682759,AA,98.30508475,369.9682759,52,ABI,LAS
"Abilene, TX","Santa Ana, CA",Table 6,20114,30136,32575,1089,20.32608696,307.7624064,AA,95.72192513,305.923352,AA,95.72192513,305.923352,53,ABI,SNA
"Albuquerque, NM","Colorado Springs, CO",Table 6,20114,30140,30189,280,13.15217391,227.5518182,UA,41.32231405,267.6456,F9,39.66942149,172.3547917,54,ABQ,COS
"Albuquerque, NM",Dallas/Fort Worth Area 4/,Table 6,20114,30140,30194,580,680.8695652,174.0033222,WN,66.36334611,170.8554342,WN,66.36334611,170.8554342,55,ABQ,DAL
"Albuquerque, NM","Pittsburgh, PA",Table 6,20114,30140,30198,1486,72.5,200.3112894,AA,34.03298351,190.7529075,DL,14.3928036,188.1798958,56,ABQ,PIT
"Albuquerque, NM","Huntsville, AL",Table 6,20114,30140,30255,1126,15.86956522,328.2491096,AA,50.68493151,318.8305405,UA,10.2739726,301.2653333,57,ABQ,HSV
"Albuquerque, NM","Albany, NY",Table 6,20114,30140,30257,1834,37.93478261,277.4612607,WN,65.04297994,282.2473128,DL,17.47851003,272.2188525,58,ABQ,ALB
